titulo,dataAssistido,anoDeLancamento,idioma,diretor,genero,duracao,plataforma,assistidoLegendado,linkIMDB,linkImagem,descricao,orcamento,principaisAtores
13 Going on 30,01/01/2022,2004,Inglês,Gary Winick,"Comédia, Fantasia, Romance",98,Netflix,1,https://www.imdb.com/title/tt0337563,https://m.media-amazon.com/images/M/MV5BMjE1NzI5NTkwMF5BMl5BanBnXkFtZTYwOTA4NzY2._V1_.jpg,"A girl makes a wish on her thirteenth birthday, and wakes up the next day as a thirty-year-old woman.",37000000,"Jennifer Garner, Mark Ruffalo, Judy Greer, Andy Serkis"
Venom: Let There Be Carnage,02/01/2022,2021,Inglês,Andy Serkis,"Ação, Aventura, Ficção científica",97,Outros,1,https://www.imdb.com/title/tt7097896,https://m.media-amazon.com/images/M/MV5BYTc3ZTAwYTgtMmM4ZS00MDRiLWI2Y2EtYmRiZmE0YjkzMGY1XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_.jpg,"Eddie Brock attempts to reignite his career by interviewing serial killer Cletus Kasady, who becomes the host of the symbiote Carnage and escapes prison after a failed execution.",110000000,"Tom Hardy, Woody Harrelson, Michelle Williams, Naomie Harris"
Reign of the Supermen,05/01/2022,2019,Inglês,Sam Liu,"Animação, Ação, Aventura",87,Outros,1,https://www.imdb.com/title/tt7167686,https://m.media-amazon.com/images/M/MV5BNmFlNDJkMWItYTQ0MC00ZGZjLWE5ZTEtYzdkMzg5OWM4MjdlXkEyXkFqcGdeQXVyMTEyNzgwMDUw._V1_.jpg,"After the death of Superman, several new people present themselves as possible successors.",,"Jerry O'Connell, Rebecca Romijn, Rainn Wilson, Patrick Fabian"
Batman: Gotham by Gaslight,09/01/2022,2018,Inglês,Sam Liu,"Animação, Ação, Aventura",78,Outros,1,https://www.imdb.com/title/tt7167630,https://m.media-amazon.com/images/M/MV5BYTJhNjYyMGItODdhOC00ZTZmLTk1MTMtZDRhMmZkYTRiOGJkXkEyXkFqcGdeQXVyMTg2NjYzOA@@._V1_.jpg,"In an alternative Victorian Age Gotham City, Batman begins his war on crime while he investigates a new series of murders by Jack the Ripper.",,"Bruce Greenwood, Jennifer Carpenter, Chris Cox, John DiMaggio"
Iron Man 2,18/01/2022,2010,Inglês,Jon Favreau,"Ação, Aventura, Ficção científica",124,Disney+,1,https://www.imdb.com/title/tt1228705,https://m.media-amazon.com/images/M/MV5BMTM0MDgwNjMyMl5BMl5BanBnXkFtZTcwNTg3NzAzMw@@._V1_.jpg,"With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",200000000,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Scarlett Johansson"
O Vendedor de Passados,27/01/2022,2015,Português (Brasileiro),Lula Buarque de Hollanda,Drama,100,Netflix,0,https://www.imdb.com/title/tt2078693,https://m.media-amazon.com/images/M/MV5BZDg5ZTczZDYtZmY4NC00MDI3LWIxYjUtZWRlMmMxOTQwYWI4XkEyXkFqcGdeQXVyNDA4NzUyMzg@._V1_.jpg,"A man, who creates pasts for a living, struggles to find his own past while a mysterious woman takes a dangerous step.",,"Lázaro Ramos, Alinne Moraes, Mayana Neiva, Ruth de Souza"
Black Widow,12/02/2022,2021,Inglês,Cate Shortland,"Ação, Aventura, Ficção científica",134,Disney+,0,https://www.imdb.com/title/tt3480822,https://m.media-amazon.com/images/M/MV5BNjRmNDI5MjMtMmFhZi00YzcwLWI4ZGItMGI2MjI0N2Q3YmIwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.,200000000,"Scarlett Johansson, Florence Pugh, Rachel Weisz, David Harbour"
Liar Liar,19/02/2022,1997,Inglês,Tom Shadyac,"Comédia, Fantasia",86,Netflix,1,https://www.imdb.com/title/tt0119528,https://m.media-amazon.com/images/M/MV5BYjZlYmJjYWYtZDM0NS00YmZlLWIyMTAtMDY5ZTNjZTgwMDhjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,A fast-track lawyer can't lie for 24 hours due to his son's birthday wish after disappointing him for the last time.,45000000,"Jim Carrey, Maura Tierney, Justin Cooper, Cary Elwes"
Steve Jobs,05/03/2022,2015,Inglês,Danny Boyle,"Biografia, Drama",122,Netflix,1,https://www.imdb.com/title/tt2080374,https://m.media-amazon.com/images/M/MV5BMjE0NTA2MTEwOV5BMl5BanBnXkFtZTgwNzg4NzU2NjE@._V1_.jpg,"Steve Jobs takes us behind the scenes of the digital revolution, to paint a portrait of the man at its epicenter. The story unfolds backstage at three iconic product launches, ending in 1998 with the unveiling of the iMac.",30000000,"Michael Fassbender, Kate Winslet, Seth Rogen, Jeff Daniels"
Operações Especiais,17/04/2022,2015,Português (Brasileiro),Tomas Portella,"Ação, Crime",99,Netflix,0,https://www.imdb.com/title/tt4058210,https://m.media-amazon.com/images/M/MV5BOGZkNmI1ZWEtZGVlNS00NGE1LWJlMjQtNjg0MDQwNjVjNDgwXkEyXkFqcGdeQXVyNTM5NjcwMjM@._V1_.jpg,A group of honest police is sent to a country town to solve the problem of high crime. Soon they solve the problem while newcomer Francis (Cléo Pires) must overcome their limits to prove that it has value. They are acclaimed by public opinion. But before long the application of the force of the law begins to annoy everyone and the true enemy is revealed. Is our society is prepared for an honest cop?,6000000,"Cleo, Fabrício Boliveira, Thiago Martins, Marcos Caruso"
